%% LaTeX2e file `cvsmyrandc.dat'
%% generated by the `filecontents' environment
%% from source `dissertation' on 2014/04/26.
%%
a b
10 0.000000
100 0.000000
1000 0.000000
10000 0.001000
100000 0.004000
1000000 0.044000
10000000 0.477000
100000000 4.573000
1000000000 46.348999
10000000000 463.489990
